mlbench 2.1-1
MLmetrics 1.1.1
mlogit 1.1-0
mlr 2.17.1
mnormt 2.0.1
modeest 2.4.0
ModelMetrics 1.2.2.2
modelr 0.1.8
modeltools 0.2-23
moments 0.14
msm 1.6.8
multcomp 1.4-13
multicool 0.1-11
munsell 0.5.0
mvnfast 0.2.5
mvtnorm 1.1-1
nadiv 2.16.2.0
naivebayes 0.9.7
naniar 0.5.2
ncbit 2013.03.29
ncdf4 1.17
ncvreg 3.12.0
network 1.16.0
networkD3 0.4
neuralnet 1.44.2
nleqslv 3.3.2
nlme 3.1-148
nloptr 1.2.2.2
NLP 0.2-0
nnet 7.3-14
nnls 1.4
nortest 1.0-4
np 0.60-10
numbers 0.7-5
numDeriv 2016.8-1.1
nycflights13 1.0.1
officer 0.3.12
openNLP 0.2-7
openNLPdata 1.5.3-4
openssl 1.4.2
openxlsx 4.1.5
operator.tools 1.6.3
optimx 2020-4.2
oro.nifti 0.10.3
orthopolynom 1.0-5
outliers 0.14
pacman 0.5.1
pander 0.6.3
parallelMap 1.5.0
parameters 0.8.2
ParamHelpers 1.14
partitions 1.9-22
party 1.3-5
partykit 1.2-9
pastecs 1.3.21
patchwork 1.0.1
pbapply 1.4-3
pbivnorm 0.6.0
pbkrtest 0.4-8.6
pcaPP 1.9-73
pdist 1.2
penalized 0.9-51
performance 0.4.8
PerformanceAnalytics 2.0.4
permute 0.9-5
phangorn 2.5.5
pheatmap 1.0.12
phytools 0.7-47
pillar 1.4.6
pipeR 0.6.1.3
pixmap 0.4-11
pkgbuild 1.1.0
pkgconfig 2.0.3
pkgload 1.1.0
plm 2.2-3
plogr 0.2.0
plot3D 1.3
plotly 4.9.2.1
plotmo 3.5.7
plotrix 3.7-8
plotROC 2.2.1
pls 2.7-3
plyr 1.8.6
png 0.1-7
polspline 1.1.19
polyclip 1.10-0
polycor 0.7-10
polynom 1.4-0
ppcor 1.1
prabclus 2.3-2
pracma 2.2.9
praise 1.0.0
prediction 0.3.14
prettyR 2.2-3
prettyunits 1.1.1
pROC 1.16.2
processx 3.4.3
prodlim 2019.11.13
productplots 0.1.1
progress 1.2.2
promises 1.1.1
proto 1.0.0
proxy 0.4-24
proxyC 0.1.5
pryr 0.1.4
ps 1.3.4
pscl 1.5.5
pspline 1.0-18
psych 2.0.7
purrr 0.3.4
qap 0.1-1
qdap 2.4.1
qdapDictionaries 1.0.7
qdapRegex 0.7.2
qdapTools 1.3.5
qgraph 1.6.5
qtl 1.46-2
